Medication,"Contraindications (CI), drug interactions (DI) or cautions",Adverse Effects,Initial dose; typical dose,Canadian brands,Therapeutic area,Source of suggestion,Evidence package,Decision date
finasteride,,"impotence, decreased libido, decreased ejaculate volume, asthenia, postural hypotension, dizziness, abnormal ejaculation",5mg once daily,"ACH-Finasteride,ACT-Finasteride,Apo-Finasteride,Auro-Finasteride,Dom-Finasteride,JAMP-Finasteride,Mint-Finasteride,Mylan-Finasteride,Mylan-Finasteride HG,PMS-Finasteride,Propecia,Proscar,RAN-Finasteride,ratio-Finasteride,Sandoz-Finasteride,Sandoz-Finasteride A,Teva-Finasteride,VAN-finasteride",medicines that do not fall under a WHO class,Canadian clinical practice guidelines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
fluconazole,"CI:avoid with hereditary fructose, glucose/galactose malabsorption, and sucrase-isomaltase deficiency and coadministration with other antifungals - terfenadine DI:CCBs, ARBs, thiazide diuretics, oral hypoglycemics macrolides, NSAIDs, oral contraceptives, Drugs prolonging QTc interval: astemizole, cisapride, terfenadine, pimozide, quinidine, prednisone, phenytoin, methadone, anti-retrovirals","headache, nausea, vomiting, abdominal pain, diarrhea",150mg once daily,"ACT Fluconazole,Apo-Fluconazole,CanesOral,CO Fluconazole,Diflucan,Diflucan injection,Diflucan One,Diflucan PWS,Dom-Fluconazole,Fluconazole Injection,Fluconazole Injection SDZ,Fluconazole Omega,Monicure,Mylan-Fluconazole,Novo-Fluconazole,PHL-Fluconazole,PMS-Fluconazole,PRO-Fluconazole,Riva-Fluconazole,Taro-Fluconazole",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
fluoxetine,"DI: linezolid, iv methylene blue, pimozide, thioridazine, MAOIs","nausea, anxiety, insomnia, agitation, anorexia, tremor, somnolence",10mg; 20-40mg once daily,"Apo-Fluoxetine,Ava-Fluoxetine,CO Fluoxetine,Dom-Fluoxetine,Fluoxetine Capsules BP,FXT 40,Gen-Fluoxetine,JAMP-Fluoxetine,Mint-Fluoxetine,Mylan-Fluoxetine,Novo-Fluoxetine,Nu-Fluoxetine,PHL-Fluoxetine,PMS-Fluoxetine,PRO-Fluoxetine,Prozac,Q-Fluoxetine,ratio-Fluoxetine,Riva-Fluoxetine,Sandoz-Fluoxetine,Teva-Fluoxetine,ZYM-Fluoxetine",medicines for mental and behavioural disorders,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
fluticasone,DI: itraconazole,"oral thrush, dysphonia","MDI: 50, 125, 250mcg; 2 puffs every 12 hours Diskus: 250, 500mcg; 1-2 every 12 hours","Arnuity Ellipta,Flovent Diskus,Flovent HFA",medicines acting on the respiratory tract,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Fluticasone_C.docx,"Added on August, 2015"
folic acid,CI: sensitivity DI: phenytoin,allergic sensitization,1mg once daily,Apo-Folic,medicines affecting the blood,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
furosemide,"CI: anuria DI: aminoglycosides, lithium","dehydration, electrolyte depletion",20mg; 20-80mg twice daily,"Apo-Furosemide,Bio-Furosemide,Furosemide Injection Sandoz Standard,Furosemide Injection, USP,Furosemide Special,Furosemide Special Injection,Lasix,Lasix Special,PMS-Furosemide,Teva-Furosemide",diuretics,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
fusidic acid,"CI: sensitivity to fusidic acid, sensitivity to lanolin (ointment)   DI: BCG, sodium picosulfate","pain (with treatment of deep leg ulcers), skin irritation",Apply small amount to affected area 3-4 times daily,Fucidin,dermatological (topical),Commonly prescribed medication ,http://cleanmeds.ca/wp-content/uploads/2016/08/Fusidic acid_CA.docx,"Added on March, 2016"
gabapentin,"CI: hypersensitivity DI: hydrocodone, morphine, antacids","somnolence, dizziness, ataxia, fatigue, nystagmus, tremor",300mg three times a day,"ACT Gabapentin,Apo-Gabapentin,Auro-Gabapentin,Dom-Gabapentin,GD-Gabapentin,JAMP-Gabapentin,JAMP-Gabapentin Tablets,Mar-Gabapentin,Mylan-Gabapentin,Neurontin,PHL-Gabapentin,PMS-Gabapentin,PRO-Gabapentin,RAN-Gabapentin,Riva-Gabapentin,Teva-Gabapentin,Van-Gabapentin",anticonvulsive medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Gabapentin_C.docx,"Added on August, 2015"
gliclazide,"DI: alcohol, fluconazole, fluoxetine, MAOIs, NSAIDs, quinolones, salicylates, sulfonamides, cimetidine (increases effect) Reduce dose if renal/hepatic dysfunction","hypoglycemia (elderly), weight gain (obese), headache, dizziness, sulfa skin reaction, GI effects",80mg twice daily,"ACT Gliclazide MR,Apo-Gliclazide,Apo-Gliclazide MR,Diamicron,Diamicron MR,Gliclazide-80,Mint-Gliclazide MR,Mylan-Gliclazide,Mylan-Gliclazide MR,PMS-Gliclazide,Teva-Gliclazide","hormones, other endocrine medicines, and contraceptives",WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
haloperidol,"CI: severe toxic CNS depression or comatose states, parkinsons, dementia-related psychosis","delirium, confusion, anticholinergic, sedation, extrapyramidal symptoms (EPSs), neuropleptic malignant syndrome",0.25mg; 0.25-0.5mg twice or three time a day,"Apo-Haloperidol,Haloperidol Injection, USP,Haloperidol-LA,Haloperidol-LA Omega,Novo-Peridol,PMS-Haloperidol,PMS-Haloperidol LA",medicines for mental and behavioural disorders,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
hydrocortisone,"systemic absorption may produce reversible hypothalamic-pituitary-adrenal (HPA) axis suppression, manifestations of cushing's syndrome, hyperglycemia, and glucosuria For Skin use only","burning, itching, irritation, dryness, folliculitis, hypertrichosis, acneiform eruptions, hypopigmentation, perioral/allergic contact dermatitis, skin maceration, secondary infection, skin atrophy, striae, miliaria",2.50%,"Aquacort,Cortamed,Cortenema,Cortifoam,Emo-Cort,Hycort,Hyderm,HydroVal,Locoid,Prevex HC,Sarna HC,Westcort",dermatological (topical),WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
hydroxychloroquine,"CI:yypersensitivity to hydroxychloroquine, 4-aminoquinoline derivatives, or any component of the formulation; retinal or visual field changes attributable to 4-aminoquinolines; long-term use in children; Preexisting retinopathy; use in children <6 years or weighing <35 kg DI:phenothiazines,beta-blockers, dapsone","headache, seizure, diarrhea, nausea, vomiting, anemia, leukopenia, thrombocytopenia, hepatic infussificency, angioedema, myopathy, visual disturbances, blurred vision, photophobia, decreased visual acuity, tinnitus, bronchospasm",400 to 600 mg once daily,,,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
ibuprofen,gastrointestinal bleeds or ulcers,"hepatic insufficiency, increased cardiovascular event risk",200-800mg three times a day,"Advil,Advil Pediatric Drops,Apo-Ibuprofen,Caldolor,Childrens Advil,Childrens Europrofen,Ibuprofen Muscle and Joint,Jamp-Ibuprofen,Motrin,Motrin (Children's),Motrin IB,Novo-Profen,Pamprin Ibuprofen Formula,PMS-Ibuprofen,Super Strength Motrin IB Liquid Gel Capsules",medicines for pain and palliative care,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
"insulin, long acting",,"hypoglycemia, sweating, tremore, tachycardia, hunger, lethargy, weakness, confusion, altered behaviour, seizures, coma, weight increase",0.2-1unit/kg/day poor control: 0.1 - 0.2 units/kg once daily in evening or 10 units 1or2 daily,"Levemir,Lantus,Toujeo SoloStar","hormones, other endocrine medicines, and contraceptives",WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
"insulin, short acting",,"hypoglycemia, sweating, tremore, tachycardia, hunger, lethargy, weakness, confusion, altered behaviour, seizures, coma, weight increase",0.5-0.8 units/kg/day insulin resistance: 0.5 units/ kg/ day Inj/SC: 20-30 min before starting meal,"Humulin R,Novolin ge Toronto,Humalog,HumaLOG KwikPen,NovoRapid,Apidra","hormones, other endocrine medicines, and contraceptives",WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
ipratropium,,"dry mouth, taste changes, urinary retention",MDI: 20mcg; 2 puffs every 8-6 hours or 250mcg Nebs: every 8 hours,"Apo-Ipravent Solution,Apo-Ipravent Sterules,Atrovent HFA,Dom-Ipratropium,Gen-Ipratropium,Mylan-Ipratropium,PHL-Ipratropium,PMS-Ipratropium,ratio-Ipratropium UDV,Teva-Ipratropium Sterinebs",medicines acting on the respiratory tract,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
labetalol,,"hypotension, bronchospasm, dizziness, lightheadedness, fatigue, nausea, impotence",100mg; 100-600mg once daily,"Apo-Labetalol,Labetalol Hydrochloride Injection, USP,Normodyne,Trandate",cardiovascular medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Labetolol_C.docx,"Added on August, 2015"
lamivudine,,"headache, fatigue, anorexia, nausea, vomiting, diarrhea, myalgia, dizziness, neuropathy, insomnia, fat redistribution, immune reconsititution syndrome, lactic acidosis, hepatomegaly",150 mg twice daily or 300 mg once daily,"3TC, Apo-Lamivudine,Apo-Lamivudine HBV, Auro-Lamivudine, Heptovir",anti-infective medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Lamivudine_C.docx,"Added on June, 2016"
latanoprost,,"blurred vision, burning and stinging, conjunctival hyperemia, foreign body sensation, itching, increased iris pigmentation and punctate epithelial keratopathy",one drop once daily,"ACT Latanoprost,Apo-Latanoprost,GD-Latanoprost,Med-Latanoprost,PMS-Latanoprost,Riva-Latanoprost,Sandoz-Latanoprost,Xalatan",eye preparations,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Latanoprost_C.docx,"Added on August, 2015"
levodopa/carbidopa,,"nausea, vomiting, anorexia, headache, confusion, hallucination, alopecia, insomnia, discolored urine, dyskinesia",50/12.5mg twice a day,"Apo-Levocarb,Apo-Levocarb CR,Dom-Levo-Carbidopa,Duodopa,Levocarb CR,PMS-Levocarb CR,PRO-Levocarb,Sinemet,Sinemet CR,Teva-Levocarbidopa",antiparkinsonism medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
levofloxacin,,"tendinitis, tendon rupture, nausea, diarrhea, constipation, headache, insomnia, dizziness",500mg; 500mg twice a day,"ACT Levofloxacin,APO-Levofloxacin,Levaquin,Levaquin in 5% Dextrose Injection,Mylan-Levofloxacin,PMS-Levofloxacin,Quinsair,Sandoz-Levofloxacin,Teva-Levofloxacin",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
levonorgestrel Ð releasing intrauterine system,"CI:uterine or liver malignancy, pregnancy, pelvic inflammatory disease (PID), cervicitis, undiagnosed abnormal uterine bleeding, immunodeficinecy, bacterial endocariditis, caution with migraines DI:primidone, barbiturates, phenytoin, carbamazepine, rifampicin and griseofulvin","increased risk of cardiovascular events including thrombosis, breast cancer, uterine bleeding iregularities",single device 52mg,"Jaydess,Mirena,Contingency One,Next Choice,NorLevo,Option 2,Plan B","hormones, other endocrine medicines, and contraceptives",WHO Model List of Essential Medicines,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
levothyroxine,"CI: acute MI, adrenal insufficiency DI: aluminim hydroxide, calcium supplements, iron salts, magnesium salts, H2 blockers, PPIs(decreases efficacy)","palpitations, increased heart rate, tremors, anxiety, diarrhea",25mcg once daily,"Eltroxin,Levothyroxine Sodium,Levothyroxine Sodium for Injection,Synthroid","hormones, other endocrine medicines, and contraceptives",WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
lithium,,"fine hand tremor, polyuria, mild thirst, general discomfort, diarrhea, nausea and vomiting, drowsiness, muscular weakness, lack of coordination, ataxia, giddiness, tinnitus, blurred vision, large output of diluted urine",300mg; 900 - 1200mg twice or three times a day   ,"Apo-Lithium Carbonate,Carbolith,Lithane,Lithmax,PMS-Lithium Carbonate,PMS-Lithium Citrate",medicines for pain and palliative care,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
loperamide,"CI: abdominal pain without diarrhea, bacterial enterocolitis, dysentry, antibiotic induced pseudomembraneous colitis DI: gemfibrozil, itraconazole, saquinavir","nausea, vomiting, dry mouth, abdominal cramps, anorexia, flatulence, constipation",2mg; 2-4mg twice a day,"Apo-Loperamide,Diarr-Eze,Dom-Loperamide,Imodium,Loperacap,Novo-Loperamide,PMS-Loperamine,Rhoxal-loperamide,Rho-Loperamine,Riva-Loperamide,Sandoz-Loperamide",medicines for pain and palliative care,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
medroxyprogesterone,"CI: breast malignancy, hepatic disease, thromboembolism Warnings: increased risk of DVT, PE, MI","abnormal uterine bleeding, amenorrhea, breast tenderness, thromboembolic disorders, nausea",150mg intramuscularly or 104mg subcutaneuous every 3 months,"Alti-MPA,Apo-Medroxy,Depo-Prevera,Depo-Provera,Dom-Medroxyprogesterone,Gen-Medroxy,Medroxy,Medroxyprogesterone Acetate Injectable Suspension USP,Novo-Medrone,PMS-Medroxyprogesterone,Provera,Provera-Pak,Teva-Medroxyprogesterone","hormones, other endocrine medicines, and contraceptives",WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
metformin,"CI: CrCl <=30ml/min, acute decompensted HF, liver dys, 48hours post iodinated contrast DI: alcohol and cimetidine(increases effect) Caution if CrCL<=60ml/min",weight loss,250mg; 500mg-850mg twice a day,"ACT-Metformin,Apo-Metformin,Auro-Metformin,Dom-Metformin,ECL-Metformin,Glucophage,Glumetza,Glycon,JAMP-Metformin,JAMP-Metformin Blackberry,Mar-Metformin,Metformin FC,Mint-Metformin,Mylan-Metformin,PHL-Metformin,PMS-Metformin,PRO-Metformin,RAN-Metformin,ratio-Metformin,Riva-Metformin,Sandoz-Metformin FC,Septa-Metformin,Teva-Metformin","hormones, other endocrine medicines, and contraceptives",WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
methimazole,"CI: thionamide allergy DI: warfarin, digoxin, radioactive idodine","agranulocytosis, skin rash",10mg; 10-50mg once daily,"Dom-Methimazole,PHL-Methimazole,Tapazole","hormones, other endocrine medicines, and contraceptives",Canadian clinical practice guidelines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
methotrexate,"CI:pregnancy, nursing, blood dyscrasias, liver dysfunction, alcoholism DI:NSAIDs, phenytoin, sulfonamides, antibiotics Must be familiar with use","bone marrow, liver, lung, kidney toxicities, diarrhea, ulcerative stomatitis, malignant lymphomas, tumor lysis syndrome, skin reactions, opportunistic infections, nausea, abdominal distress, malaise, undue fatigue, chills",2.5mg; 7.5mg one time every week,"Apo-Methotrexate,JAMP-Methotrexate,Methotrexate Injection USP,Methotrexate Injection, BP,Methotrexate Sodium Injection,Metoject,ratio-Methotrexate Sodium",medicines for diseases of joints,WHO Model List of Essential Medicines  ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
methylprednisolone,CI: ,"fluid and electrolyte disturbances, hypertension, osteoporosis, muscle weakness, cushingoid state, menstrual irregularities, impaired wound healing, convulsions, ulcerative esophagitis, excessive sweating, increased intracranial pressure, glaucoma, abdominal distention, headache, decreased carbohydrate tolerance",4mg;4 - 48 mg/day,"Depo-Medrol,Medrol,Methylprednisolone Acetate,Methylprednisolone Sodium Succinate For Injection,Methylprednisolone Sodium Succinate For Injection USP,Solu-Medrol",antineoplastic and immunosupressives,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
metoclopramide,"CI:mechanical or paralytic intestinal obstruction DI: sedatives, hypnotics, narcotics, tranquilizers, MAOIs, drugs that may precipitate EPS May cause tardive dyskinesia","diarrhea, abdominal cramping",5mg; 5-20mg three times a day,"Apo-Metoclop,Metoclopramide Hydrochloride Injection,Metoclopramide Omega,Metonia,Nu-Metoclopramide,PMS-Metoclopramide",gastrointestinal medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
metronidazole,"CI:disulfiram use within the last 2 weeks, consumption of alcohol or products containing propylene glycol during and for at least 3 days after therapy, use during the 1st trimester of pregnancy in trichomoniasis patients DI:anticoagulants, phenytoin, busulfan, lithium GI upset (possible disulfiram-like reaction) with alcohol use","headache, syncope, dizziness, vertigo, incoordination, nausea, diarrhea, epigastric distress, abdominal cramping, constipation, unpleasant metallic taste, erythematous rash, pruritus, urticaria, dysuria",500mg; 500mg three times a day,"Flagyl,Metronidazole Injection USP,Novo-Nidazol,PMS-Metronidazole",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
mupirocin,"CI: hypersensitivity DI: BCG, typhoid vaccine, sodium picosulfate","localized burning, stinging sensation, pruritus, skin rash, nausea, rhinitis, respiratory congestion, pharyngitis, cough, headache",apply to affected area three times daily ,Bactroban,dermatological (topical),Commonly prescribed medication ,http://cleanmeds.ca/wp-content/uploads/2016/08/Mupirocin_CA.docx,"Added on March, 2016"
naltrexone,opioid analgesics; patients in acute opioid withdrawal; hypersensitivity; acute hepatitis or liver failure,"Difficulty sleeping, anxiety, nervousness, abdominal pain/cramps, nausea and/or vomiting, low energy, joint and muscle pain, headache, loss of appetite, constipation, increased thirst, increased energy, feeling down, irritability, dizziness, skin rash, delayed ejaculation, decreased potency, and chills",25mg; 50mg once daily,ReVia,medicines for mental and behavioural disorders,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Naltrexone_C.docx,"Added on August, 2015"
naproxen,"CI: GI bleeds, ulcers, allergy","gastrointestinal bleeding, renal insufficiency",250mg; 250-500mg twice a day,"Aleve,Anaprox,Anaprox DS,Apo-Napro-Na,Apo-Napro-Na DS,Apo-Naproxen,Apo-Naproxen EC,Apo-Naproxen SR,Ava-Naproxen EC,Maxidol,Mylan-Naproxen EC,Naprelan,Naprosyn,Naproxen EC,Naproxen Sodium DS,Naproxen-NA,Naproxen-NA DF,Pediapharm Naproxen Suspension,PMS-Naproxen,PMS-Naproxen EC,PRO-Naproxen EC,Teva-Naproxen,Teva-Naproxen EC,Teva-Naproxen Sodium,Teva-Naproxen Sodium DS,Teva-Naproxen SR",medicines for pain and palliative care,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Naproxen_C.docx,"Added on August, 2015"
nicotine replacement therapy,"CI: immediate post myocardial infarction, life-threatening arrhythmias, severe or worsening angina pectoris, recent cerebral vascular accident, pregnant women, nursing mothers, generalized skin disorders","headache, asthenia, dyspepsia, nausea, myalgia, insomnia, dizziness, cough, taste perversion","transdermal nicotine patch (7mg, 14mg or 21mg per 24 hours), chewing gum (2 mg or 4 mg)","Habitrol,Nicoderm,Nicorette,Nicorette Plus,Nicotrol",medicines for mental and behavioural disorders,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Nicotine Replacement Therapy_C.docx,"Added on August, 2015"
nitrofurantoin,CI:,"nausea, headache",50mg ,"Apo-Nitrofurantoin,Macrobid,Macrodantin,Novo-Furantoin,Teva-Nitrofurantoin",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
nitroglycerin,CI: hypersenstivity DI: phosphodiesterase (PDE) inhibitors,"headache, dizziness, nausea and flushing",sublingual 0.3mg as needed,"Minitran,Mylan-Nitro Sublingual Spray,Nitro-Dur,Nitroglycerin Injection, USP,Nitrol,Nitrostat,Rho-Nitro Pump Spray,Transderm-Nitro,Trinipatch",cardiovascular medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Nitroglycerin Patch_C.docx,"Added on August, 2015"
nortriptyline,"CI: MAOI therapy, acute MI recovery phase, use with cisapride DI:sedatives, SSRIs, cimetidine, thyroid meds Increases suicidal ideation in children and adolescents Dose modify in elderly","myocardial infacrtion, stroke, seizure, paralytic ileus, urinary retention, constipation, blurred vision, hyperpyrexia, rash, bone marrow depression, testicular swelling, gynecomastia, alopecia, edema",25-50mg daily,"po-Nortriptyline,Ava-Nortriptyline,Aventyl,Dom-Nortriptyline,Norventyl,Nu-Nortriptyline,PMS-Nortriptyline,Teva-Nortriptyline",medicines for mental and behavioural disorders,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Nortriptyline_C.docx,"Added on August, 2015"
nystatin,,"oral irritation, diarrhea, nausea, vomiting, gastrointestinal upset",oral candidiasis: 4-6mL every 6 hours or 500 000 units every 8 hours vaginal candidiasis 1tab PV every 12 hours for 2wks,PMS-Nystatin,anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
olopatadine,,"headache, nausea, cold symptoms, back pain, weakness, burning sensation of eyes, eyelid edema, eye pain, eye pruritus, foreign body sensation, pharyngitis, cough, rhinitis",instill 1 drop into each affected eye once daily,"ACT-Olopatadine,Apo-Olopatadine,CO Olopatadine,Pataday,Patanol,Sandoz-Olopatadine",eye preparations,Commonly prescribed medication ,http://cleanmeds.ca/wp-content/uploads/2016/08/Olopatadine_CA.docx,"Added on March, 2016"
pantoprazole,"DI:digoxin, warfarin, antivirals, ketaconazole May increase risk ofclostridium difficile-associated diarrhea","headache, diarrhea, nausea, pruritus",20mg; 20-40mg one time a day,"CT Pantoprazole,Apo-Pantoprazole,Dom-Pantoprazole,JAMP-Pantoprazole,Mar-Pantoprazole,Mint-Pantoprazole,Mylan-Pantoprazole,Panto I.V.,Pantoloc,Pantoprazole for Injection,Pantoprazole Magnesium,Pantoprazole Sodium for Injection,PMS-Pantoprazole,Priva-Pantoprazole,Ran-Pantoprazole,Riva-Pantoprazole,Sandoz-Pantoprazole,Tecta,Teva-Pantoprazole,Teva-Pantoprazole Magnesium",gastrointestinal medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Pantoprazol_C.docx,"Added on August, 2015"
permethrin,"CI: less than 2mths, avoid eyes, vagina area","itching, redness, stinging/burning, numbness, discomfort, swelling of the scalp, may irritate respiratory system",5% (1/2 bottle) one time and repeat in 2 weeks,"Kwellada-P [OTC],Nix [OTC]",dermatological (topical),WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
phenytoin,"CI: delavirdine DI: azoles, alcohol, amiodarone, antacids, PIPs, H2 antagonists, sulfonamides, sedatives, theophylline, oral contraceptives","nausea, diarrhea, dizzy, ataxia, sedation, somnolence, tremor, liver injury, gingival hyperplasia, nystagmus",150mg; 300mg at nights increase by 50-100mg/day every 1 month until control,"Dilantin,Novo-Phenytoin,Taro-Phenytoin,Tremytoine Inj",anticonvulsive medicines,WHO Model List of Essential Medicines,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
pilocarpine,CI: iritis Driving caution,"headache/browache, accommodative change, blurred vision, eye irritation, visual impairment, eye pain","1%, 1 drop every 6 hours",Salagen,eye preparations,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
polyethylene glycol 3350,"known or suspected bowel obstruction, not taken within 2 hours of other medications","nausea, abdominal bloating, cramping, flatulence, diarrhea, excessive stool frequency",17g (1 packet) once per day,"Lax-A-Day,Peg 3350,Pegalax,Relaxa",gastrointestinal medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Polyethylene Glycol 3350_C.docx,"Added on August, 2015"
polymyxin b,,"circumocular rash, burning sensation of eyes, eyelid edema, eye pruritus, eye redness (increased), lacrimation, stinging of eyes","Solution, ophthalmic: trimethoprim 1 mg and polymyxin B sulfate 10,000 units per 1 mL (10 mL). Instill 1 drop in affected eye(s) every 3 hours (maximum: 6 doses per day) for 7-10 days","PMS-Polytrimethoprim, Polytrim",,WHO Model List of Essential Medicines,http://www.who.int/medicines/publications/essentialmedicines/20th_EML2017.pdf?ua=1,Added July 2017
potassium,"CI: adrenal insufficiency, hyperkalemia, acute dehydration, renal failure, potassium sparing diuretics DI: ACE Inhibitors, ARBs, gulcocorticosteroids, heparin, cardiac glycosides, NSAIDs","nausea, vomiting, abdominal pain, diarrhea, arrhythmia",10% (20mEq /15mls); 15mls every 12 hours dissolved in 100-200mls water,,"hormones, other endocrine medicines, and contraceptives",WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
pravastatin,"CI: active liver disease, alcohol and pregnancy DI: digoxin, niacin, fibric acid derivatives","headache, rash, abdominal cramps, diarrhea, nausea, vomitting",40 mg daily,"ACT Pravastatin,Apo-Pravastatin,Dom-Pravastatin,JAMP-Pravastatin,Mint-Pravastatin,Mylan-Pravastatin,PMS-Pravastatin,Pravachol,RAN-Pravastatin,Riva-Pravastatin,Sandoz-Pravastatin,Teva-Pravastatin",cardiovascular medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Pravastatin_C.docx,"Added on August, 2015"
